place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat,topic
24640,12740,2,"Greenfield Town, MA",-72.57969444444444,42.59188888888889,"Barre, VT",-72.57854411764706,44.25670588235294,environment
25420,12740,3,"Harrisburg-Carlisle, PA",-76.91733333333333,40.25328282828283,"Barre, VT",-72.57854411764706,44.25670588235294,environment
35840,12740,2,"North Port-Sarasota-Bradenton, FL",-82.5337638888889,27.375708333333332,"Barre, VT",-72.57854411764706,44.25670588235294,environment
36500,20260,4,"Olympia-Tumwater, WA",-122.89492063492064,47.03798412698413,"Duluth, MN-WI",-92.17468292682926,46.86973170731707,environment
38340,41620,6,"Pittsfield, MA",-73.24205555555555,42.36072222222222,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,environment
40220,13980,2,"Roanoke, VA",-79.95344736842105,37.245973684210526,"Blacksburg-Christiansburg-Radford, VA",-80.43162962962963,37.198,environment
41420,41620,5,"Salem, OR",-123.02666666666667,44.943333333333335,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,environment
41620,38340,6,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,"Pittsfield, MA",-73.24205555555555,42.36072222222222,environment
41620,41420,5,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,"Salem, OR",-123.02666666666667,44.943333333333335,environment
42200,41620,2,"Santa Maria-Santa Barbara, CA",-119.97866153846154,34.575723076923076,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,environment
44140,38340,4,"Springfield, MA",-72.5877265625,42.2362265625,"Pittsfield, MA",-73.24205555555555,42.36072222222222,environment
54063,44140,1,Monroe County,-80.5678,37.5058,"Springfield, MA",-72.5877265625,42.2362265625,environment
11260,47900,5,"Anchorage, AK",-149.810375,61.2748125,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,executive
15380,47900,4,"Buffalo-Cheektowaga-Niagara Falls, NY",-78.84855102040817,42.909806122448984,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,executive
21660,38860,6,"Eugene, OR",-123.15021348314608,44.03806741573034,"Portland-South Portland, ME",-70.28717777777777,43.63619259259259,executive
24340,47900,7,"Grand Rapids-Wyoming, MI",-85.75851470588236,42.93430882352941,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,executive
