date,week,location,latitude,longitude,location_type,location_id,location_name,collective_bargaining,education,environment,executive,guns,healthcare,immigration,police,race_confed,supreme_court,women,other
1/21/17,1/16/17,"St. Louis, MO",38.627,-90.199,CBSA,41180,"St. Louis, MO-IL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Santa Fe, NM",35.687,-105.938,CBSA,42140,"Santa Fe, NM",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Ashland, OR",42.195,-122.709,CBSA,32780,"Medford, OR",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Santa Cruz, CA",36.974,-122.031,CBSA,42100,"Santa Cruz-Watsonville, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Ann Arbor, MI",42.281,-83.743,CBSA,11460,"Ann Arbor, MI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"New Orleans, LA",29.951,-90.072,CBSA,35380,"New Orleans-Metairie, LA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Hartford, CT",41.764,-72.685,CBSA,25540,"Hartford-West Hartford-East Hartford, CT",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Helena, MT",46.588,-112.025,CBSA,25740,"Helena, MT",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Olympia, WA",47.038,-122.901,CBSA,36500,"Olympia-Tumwater, WA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Portland, ME",43.661,-70.255,CBSA,38860,"Portland-South Portland, ME",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Reno, NV",39.53,-119.814,CBSA,39900,"Reno, NV",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Seneca Falls, NY",42.911,-76.797,CBSA,42900,"Seneca Falls, NY",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Oklahoma City, OK",35.468,-97.516,CBSA,36420,"Oklahoma City, OK",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Las Vegas, NV",36.17,-115.14,CBSA,29820,"Las Vegas-Henderson-Paradise, NV",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Ithaca, NY",42.444,-76.502,CBSA,27060,"Ithaca, NY",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Sarasota, FL",27.336,-82.531,CBSA,35840,"North Port-Sarasota-Bradenton, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Albuquerque, NM",35.085,-106.606,CBSA,10740,"Albuquerque, NM",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Asheville, NC",35.595,-82.551,CBSA,11700,"Asheville, NC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Eugene, OR",44.052,-123.087,CBSA,21660,"Eugene, OR",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"San Luis Obispo, CA",35.283,-120.66,CBSA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Cincinnati, OH",39.103,-84.512,CBSA,17140,"Cincinnati, OH-KY-IN",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Albany, NY",42.653,-73.756,CBSA,10580,"Albany-Schenectady-Troy, NY",0,0,0,0,0,0,0,0,0,0,1,0
