topic,count,perc_of_state_protest,state,percentile,high_low
women,22,0.0898,MD,0.2549019607843137,middle
women,31,0.0891,TN,0.23529411764705882,middle
women,48,0.1231,IN,0.6862745098039216,middle
women,63,0.1105,OH,0.5294117647058824,middle
women,26,0.0657,CT,0.058823529411764705,low
women,40,0.1064,DC,0.49019607843137253,middle
women,95,0.1286,WA,0.7254901960784313,middle
women,91,0.086,FL,0.17647058823529413,middle
women,30,0.1351,UT,0.7843137254901961,middle
women,254,0.1016,CA,0.39215686274509803,middle
women,23,0.1122,VT,0.5490196078431373,middle
women,62,0.1292,MN,0.7450980392156863,middle
women,49,0.099,VA,0.37254901960784315,middle
women,45,0.116,WI,0.6274509803921569,middle
women,60,0.1542,MO,0.8235294117647058,middle
women,58,0.1153,CO,0.6078431372549019,middle
women,32,0.0958,GA,0.3333333333333333,middle
women,84,0.0871,PA,0.19607843137254902,middle
women,121,0.0805,NY,0.11764705882352941,middle
women,63,0.1047,IL,0.45098039215686275,middle
women,64,0.0872,MA,0.21568627450980393,middle
women,68,0.1124,OR,0.5686274509803921,middle
women,95,0.105,TX,0.47058823529411764,middle
women,30,0.1027,IA,0.4117647058823529,middle
women,56,0.0946,NC,0.3137254901960784,middle
women,42,0.1246,AZ,0.7058823529411765,middle
women,92,0.1201,MI,0.6666666666666666,middle
women,27,0.1753,NE,0.9215686274509803,high
women,22,0.0921,NM,0.27450980392156865,middle
women,17,0.1043,LA,0.43137254901960786,middle
women,36,0.1818,MT,0.9411764705882353,high
women,35,0.1178,ME,0.6470588235294118,middle
women,15,0.0843,NV,0.1568627450980392,middle
women,17,0.0966,OK,0.35294117647058826,middle
women,25,0.1678,AL,0.9019607843137255,high
women,25,0.0706,KY,0.0784313725490196,low
women,4,0.05,AR,0.0392156862745098,low
women,46,0.0826,NJ,0.13725490196078433,middle
women,11,0.1089,RI,0.5098039215686274,middle
women,16,0.1322,HI,0.7647058823529411,middle
women,20,0.1587,ID,0.8627450980392157,middle
women,25,0.1572,NH,0.8431372549019608,middle
women,14,0.0927,KS,0.29411764705882354,middle
women,8,0.1379,SD,0.803921568627451,middle
women,57,0.2923,AK,1,high
women,14,0.1609,MS,0.8823529411764706,middle
women,9,0.0469,WV,0.0196078431372549,low
women,18,0.0756,SC,0.09803921568627451,low
women,15,0.2308,ND,0.9607843137254902,high
women,18,0.2338,WY,0.9803921568627451,high
women,9,0.1139,DE,0.5882352941176471,middle
environment,17,0.0694,MD,0.6,middle
environment,9,0.0259,TN,0.12,middle
environment,21,0.0538,IN,0.48,middle
environment,16,0.0281,OH,0.14,middle
environment,19,0.048,CT,0.34,middle
environment,28,0.0745,DC,0.66,middle
environment,72,0.0974,WA,0.8,middle
environment,64,0.0605,FL,0.52,middle
environment,26,0.1171,UT,0.92,high
environment,130,0.052,CA,0.46,middle
environment,41,0.2,VT,1,high
environment,57,0.1188,MN,0.94,high
environment,63,0.1273,VA,0.96,high
environment,24,0.0619,WI,0.58,middle
environment,17,0.0437,MO,0.28,middle
environment,45,0.0895,CO,0.72,middle
environment,11,0.0329,GA,0.18,middle
environment,71,0.0737,PA,0.64,middle
environment,85,0.0566,NY,0.5,middle
environment,23,0.0382,IL,0.22,middle
