month_yr,topic,value,sort,,,,,supreme_court,1
2018-11,collective_bargaining,18,10,,,,,,
2018-12,collective_bargaining,30,10,,,,,,
2019-01,collective_bargaining,28,10,,,,,,
2019-02,collective_bargaining,23,10,,,,,,
2019-03,collective_bargaining,42,10,,,,,,
2019-04,collective_bargaining,40,10,,,,,,
2019-05,collective_bargaining,68,10,,,,,,
2019-06,collective_bargaining,60,10,,,,,,
2019-07,collective_bargaining,49,10,,,,,,
2019-08,collective_bargaining,45,10,,,,,,
2017-01,environment,8,11,,,,,,
2017-02,environment,43,11,,,,,,
2017-03,environment,50,11,,,,,,
2017-04,environment,93,11,,,,,,
2017-05,environment,32,11,,,,,,
2017-06,environment,26,11,,,,,,
2017-07,environment,22,11,,,,,,
2017-08,environment,28,11,,,,,,
2017-09,environment,25,11,,,,,,
2017-10,environment,33,11,,,,,,
2017-11,environment,21,11,,,,,,
2017-12,environment,17,11,,,,,,
2018-01,environment,12,11,,,,,,
2018-02,environment,36,11,,,,,,
2018-03,environment,26,11,,,,,,
2018-04,environment,27,11,,,,,,
2018-05,environment,25,11,,,,,,
2018-06,environment,24,11,,,,,,
2018-07,environment,28,11,,,,,,
2018-08,environment,23,11,,,,,,
2018-09,environment,44,11,,,,,,
2018-10,environment,18,11,,,,,,
2018-11,environment,14,11,,,,,,
2018-12,environment,18,11,,,,,,
2019-01,environment,16,11,,,,,,
2019-02,environment,12,11,,,,,,
2019-03,environment,102,11,,,,,,
2019-04,environment,45,11,,,,,,
2019-05,environment,43,11,,,,,,
2019-06,environment,33,11,,,,,,
2019-07,environment,28,11,,,,,,
2019-08,environment,29,11,,,,,,
2017-01,healthcare,4,12,,,,,,
2017-02,healthcare,48,12,,,,,,
2017-03,healthcare,78,12,,,,,,
2017-04,healthcare,14,12,,,,,,
2017-05,healthcare,78,12,,,,,,
2017-06,healthcare,67,12,,,,,,
2017-07,healthcare,113,12,,,,,,
2017-08,healthcare,17,12,,,,,,
2017-09,healthcare,20,12,,,,,,
2017-10,healthcare,6,12,,,,,,
2017-11,healthcare,6,12,,,,,,
2017-12,healthcare,7,12,,,,,,
2018-01,healthcare,8,12,,,,,,
2018-02,healthcare,12,12,,,,,,
2018-03,healthcare,9,12,,,,,,
2018-04,healthcare,7,12,,,,,,
2018-05,healthcare,24,12,,,,,,
2018-06,healthcare,10,12,,,,,,
2018-07,healthcare,3,12,,,,,,
2018-08,healthcare,11,12,,,,,,
2018-09,healthcare,17,12,,,,,,
2018-10,healthcare,6,12,,,,,,
2018-11,healthcare,6,12,,,,,,
2018-12,healthcare,3,12,,,,,,
2019-01,healthcare,6,12,,,,,,
2019-02,healthcare,13,12,,,,,,
2019-03,healthcare,13,12,,,,,,
2019-04,healthcare,6,12,,,,,,
2019-05,healthcare,18,12,,,,,,
2019-06,healthcare,9,12,,,,,,
2019-07,healthcare,8,12,,,,,,
2019-08,healthcare,11,12,,,,,,
2017-01,other,4,13,,,,,,
2017-02,other,82,13,,,,,,
2017-03,other,107,13,,,,,,
2017-04,other,252,13,,,,,,
2017-05,other,80,13,,,,,,
2017-06,other,88,13,,,,,,
2017-07,other,91,13,,,,,,
2017-08,other,105,13,,,,,,
2017-09,other,89,13,,,,,,
2017-10,other,106,13,,,,,,
2017-11,other,112,13,,,,,,
2017-12,other,131,13,,,,,,
2018-01,other,53,13,,,,,,
2018-02,other,80,13,,,,,,
2018-03,other,95,13,,,,,,
2018-04,other,144,13,,,,,,
2018-05,other,147,13,,,,,,
2018-06,other,84,13,,,,,,
2018-07,other,84,13,,,,,,
2018-08,other,75,13,,,,,,
2018-09,other,64,13,,,,,,
2018-10,other,111,13,,,,,,
2018-11,other,74,13,,,,,,
2018-12,other,62,13,,,,,,
2019-01,other,88,13,,,,,,
2019-02,other,99,13,,,,,,
2019-03,other,121,13,,,,,,
2019-04,other,128,13,,,,,,
2019-05,other,121,13,,,,,,
2019-06,other,107,13,,,,,,
2019-07,other,111,13,,,,,,
2019-08,other,99,13,,,,,,
